id,name,birthYear
nm0000243,"Denzel Washington",1954
nm0000244,"Sigourney Weaver",1949
nm0000245,"Robin Williams",1951
nm0000246,"Bruce Willis",1955
nm0000249,"James Woods",1947
nm0000250,"RenÃƒÂ©e Zellweger",1969
nm0000251,"Timothy Dowling",1973
nm0000255,"Ben Affleck",1972
nm0000257,"Alan Alda",1936
nm0000260,"Joan Allen",1956
nm0000263,"Kirstie Alley",1951
nm0000265,"Robert Altman",1925
nm0000266,"Ursula Andress",1936
nm0000267,"Julie Andrews",1935
nm0000269,"Jean-Jacques Annaud",1943
nm0000270,"Gabrielle Anwar",1970
nm0000271,"Anne Archer",1947
nm0000272,"Fanny Ardant",1949
nm0000273,"Alan Arkin",1934
nm0000274,"David Arquette",1971
nm0000275,"Rosanna Arquette",1959
nm0000276,"Sean Astin",1971
nm0000277,"Richard Attenborough",1923
nm0000278,"Pernilla August",1958
nm0000279,"Hank Azaria",1964
nm0000281,"Scott Baio",1960
nm0000282,"Scott Bairstow",1970
nm0000283,"Brenda Bakke",1963
nm0000284,"Adam Baldwin",1962
nm0000285,"Alec Baldwin",1958
nm0000286,"Stephen Baldwin",1966
nm0000287,"William Baldwin",1963
nm0000288,"Christian Bale",1974
nm0000289,"Ellen Barkin",1954
nm0000291,"Angela Bassett",1958
nm0000293,"Sean Bean",1959
nm0000295,"Kate Beckinsale",1973
nm0000297,"Tom Berenger",1949
nm0000298,"Candice Bergen",1946
nm0000299,"Michael Biehn",1956
nm0000300,"Juliette Binoche",1964
nm0000301,"Thora Birch",1982
nm0000307,"Helena Bonham Carter",1966
nm0000308,"Ernest Borgnine",1917
nm0000309,"David Bowie",1947
nm0000310,"Bruce Boxleitner",1950
nm0000312,"Amy Brenneman",1964
nm0000313,"Jeff Bridges",1949
nm0000316,"Mel Brooks",1926
nm0000317,"Clancy Brown",1959
nm0000318,"Tim Burton",1958
nm0000319,"Yancy Butler",1970
nm0000321,"Gabriel Byrne",1950
nm0000322,"Emmanuelle BÃƒÂ©art",1963
nm0000323,"Michael Caine",1933
nm0000325,"David Caruso",1956
nm0000327,"Lacey Chabert",1982
nm0000328,"Richard Chamberlain",1934
nm0000329,"Jackie Chan",1954
nm0000330,"Stockard Channing",1944
nm0000331,"Chevy Chase",1943
nm0000332,"Don Cheadle",1964
nm0000333,Cher,1946
nm0000334,"Yun-Fat Chow",1955
nm0000335,"Glenn Close",1947
nm0000336,"James Coburn",1928
nm0000337,"Rachael Leigh Cook",1979
nm0000338,"Francis Ford Coppola",1939
nm0000339,"Roger Corman",1926
nm0000341,"Michael Crichton",1942
nm0000342,"James Cromwell",1940
nm0000343,"David Cronenberg",1943
nm0000345,"Billy Crystal",1948
nm0000347,"Tim Curry",1946
nm0000349,"Joan Cusack",1962
nm0000350,"Beverly DAngelo",1951
nm0000351,"Donna DErrico",1968
nm0000352,"Vincent DOnofrio",1959
nm0000353,"Willem Dafoe",1955
nm0000354,"Matt Damon",1970
nm0000358,"Daniel Day-Lewis",1957
nm0000360,"Rebecca De Mornay",1959
nm0000361,"Brian De Palma",1940
nm0000362,"Danny DeVito",1944
nm0000363,"Loren Dean",1969
nm0000365,"Julie Delpy",1969
nm0000366,"Catherine Deneuve",1943
nm0000367,"GÃƒÂ©rard Depardieu",1948
nm0000368,"Laura Dern",1967
nm0000369,"Matt Dillon",1964
nm0000371,"Ami Dolenz",1969
nm0000372,"Amanda Donohoe",1962
nm0000374,"Brad Dourif",1950
nm0000375,"Robert Downey Jr.",1965
nm0000378,"Minnie Driver",1970
nm0000379,"Kirsten Dunst",1982
nm0000380,"Robert Duvall",1931
nm0000381,"Anthony Edwards",1962
nm0000382,"Atom Egoyan",1960
nm0000383,"Jennifer Ehle",1969
nm0000384,"Danny Elfman",1953
nm0000385,"Sam Elliott",1944
nm0000386,"Roland Emmerich",1955
nm0000387,"Robert Englund",1947
nm0000389,"Emilio Estevez",1962
nm0000390,"Joe Eszterhas",1944
nm0000391,"Rupert Everett",1959
nm0000393,"Peter Falk",1927
nm0000397,"Corey Feldman",1971
nm0000398,"Sally Field",1946
nm0000399,"David Fincher",1962
nm0000401,"Laurence Fishburne",1961
nm0000403,"Bridget Fonda",1964
nm0000407,"Vivica A. Fox",1964
nm0000408,"Jonathan Frakes",1952
nm0000409,"Brendan Fraser",1968
nm0000410,"Stephen Fry",1957
nm0000411,"Edward Furlong",1977
nm0000412,"Andy Garcia",1956
nm0000413,"Janeane Garofalo",1964
nm0000416,"Terry Gilliam",1940
nm0000417,"Crispin Glover",1964
nm0000418,"Danny Glover",1946
nm0000419,"Jean-Luc Godard",1930
nm0000420,"Valeria Golino",1965
nm0000421,"Cuba Gooding Jr.",1968
nm0000422,"John Goodman",1952
nm0000425,"Peter Greenaway",1942
nm0000427,"Pam Grier",1949
nm0000429,"Melanie Griffith",1957
nm0000430,"Steve Guttenberg",1958
nm0000432,"Gene Hackman",1930
nm0000433,"Corey Haim",1971
nm0000435,"Daryl Hannah",1960
nm0000436,"Curtis Hanson",1945
nm0000437,"Woody Harrelson",1961
nm0000438,"Ed Harris",1950
nm0000440,"Nina Hartley",1959
nm0000442,"Rutger Hauer",1944
nm0000443,"Goldie Hawn",1945
nm0000444,"Glenne Headly",1955
nm0000446,"Mariel Hemingway",1961
nm0000448,"Lance Henriksen",1940
nm0000449,"Natasha Henstridge",1974
nm0000450,"Philip Seymour Hoffman",1967
nm0000452,"Lauren Holly",1963
nm0000453,"Ian Holm",1931
nm0000454,"Dennis Hopper",1936
nm0000456,"Holly Hunter",1958
nm0000457,"John Hurt",1940
nm0000458,"William Hurt",1950
nm0000459,"Timothy Hutton",1960
nm0000460,"Jeremy Irons",1948
nm0000461,"Michael Ironside",1950
nm0000462,"Kate Jackson",1948
nm0000463,"Famke Janssen",1964
nm0000464,"Jim Jarmusch",1953
nm0000465,"Ron Jeremy",1953
nm0000466,"Jean-Pierre Jeunet",1953
nm0000470,"Jeffrey Jones",1946
nm0000473,"Diane Keaton",1946
nm0000474,"Michael Keaton",1951
nm0000475,"Patsy Kensit",1968
nm0000476,"Sally Kirkland",1941
nm0000477,"Mia Kirshner",1975
nm0000480,"Elias Koteas",1961
nm0000481,"Alice Krige",1954
nm0000483,"Christopher Lambert",1957
nm0000485,"Fritz Lang",1890
nm0000487,"Ang Lee",1954
nm0000490,"Spike Lee",1957
nm0000491,"John Leguizamo",1964
nm0000492,"Jennifer Jason Leigh",1962
nm0000494,"Robert Sean Leonard",1969
nm0000495,"TÃƒÂ©a Leoni",1966
nm0000496,"Juliette Lewis",1973
nm0000498,"Matthew Lillard",1970
nm0000499,"Bai Ling",1966
nm0000500,"Richard Linklater",1960
nm0000501,"Ray Liotta",1954
nm0000502,"Christopher Lloyd",1938
nm0000505,"Nia Long",1970
nm0000506,"Julia Louis-Dreyfus",1961
nm0000510,"Andie MacDowell",1958
nm0000511,"Shirley MacLaine",1934
nm0000513,"William H. Macy",1950
nm0000514,"Michael Madsen",1957
nm0000515,"Virginia Madsen",1961
nm0000517,"Terrence Malick",1943
nm0000518,"John Malkovich",1953
nm0000519,"David Mamet",1947
nm0000520,"Michael Mann",1943
nm0000522,"Vanessa Marcil",1968
nm0000523,"Julianna Margulies",1966
nm0000524,"Mary Stuart Masterson",1966
nm0000525,"Heather Matarazzo",1982
nm0000526,"Samantha Mathis",1970
nm0000529,"Debi Mazar",1964
nm0000530,"Andrew McCarthy",1962
nm0000531,"Frances McDormand",1957
nm0000532,"Malcolm McDowell",1943
nm0000534,"Kelly McGillis",1957
nm0000535,"Rose McGowan",1973
nm0000538,"Colm Meaney",1953
nm0000539,"Dina Meyer",1968
nm0000541,"Bette Midler",1945
nm0000545,"Helen Mirren",1945
nm0000546,"Matthew Modine",1959
nm0000547,"Alfred Molina",1953
nm0000551,"Dermot Mulroney",1963
nm0000552,"Eddie Murphy",1961
nm0000553,"Liam Neeson",1952
nm0000554,"Sam Neill",1947
nm0000555,"Judd Nelson",1959
nm0000560,"Nick Nolte",1941
nm0000562,"Jeremy Northam",1961
nm0000563,"Chris ODonnell",1970
nm0000564,"Peter OToole",1932
nm0000565,"Lena Olin",1955
nm0000568,"Frank Oz",1944
nm0000569,"Gwyneth Paltrow",1972
nm0000570,"Alan Parker",1944
nm0000571,"Mary-Louise Parker",1964
nm0000572,"Sarah Jessica Parker",1965
nm0000573,"Dolly Parton",1946
nm0000574,"Jason Patric",1966
nm0000575,"Alexandra Paul",1963
nm0000576,"Sean Penn",1960
nm0000579,"Ron Perlman",1950
nm0000580,"Luke Perry",1966
nm0000585,"Robert Picardo",1953
nm0000586,"Jada Pinkett Smith",1971
nm0000590,"Edgar Allan Poe",1809
nm0000591,"Roman Polanski",1933
nm0000592,"Pete Postlethwaite",1946
nm0000593,"Kelly Preston",1962
nm0000594,"Jason Priestley",1969
nm0000596,"Jonathan Pryce",1947
nm0000597,"Bill Pullman",1953
nm0000598,"Dennis Quaid",1954
nm0000600,"Sam Raimi",1959
nm0000601,"Harold Ramis",1944
nm0000602,"Robert Redford",1936
nm0000603,"Vanessa Redgrave",1937
nm0000604,"John C. Reilly",1965
nm0000605,"Brad Renfro",1982
nm0000606,"Jean Reno",1948
nm0000608,"Burt Reynolds",1936
nm0000609,"Ving Rhames",1959
nm0000610,"Giovanni Ribisi",1974
nm0000612,"Denise Richards",1971
nm0000613,"Joely Richardson",1965
nm0000614,"Alan Rickman",1946
nm0000615,"John Ritter",1948
nm0000616,"Eric Roberts",1956
nm0000618,"Isabella Rossellini",1952
nm0000619,"Tim Roth",1961
nm0000620,"Mickey Rourke",1952
nm0000621,"Kurt Russell",1951
nm0000622,"Theresa Russell",1957
nm0000624,"Laura San Giacomo",1962
nm0000625,"Fred Savage",1976
nm0000626,"John Sayles",1950
nm0000627,"Greta Scacchi",1960
nm0000629,"Claudia Schiffer",1970
nm0000630,"Liev Schreiber",1967
nm0000631,"Ridley Scott",1937
nm0000636,"William Shakespeare",1564
nm0000637,"Tupac Shakur",1971
nm0000638,"William Shatner",1931
nm0000640,"Martin Sheen",1940
nm0000641,"Gary Sinise",1955
nm0000643,"Tom Skerritt",1933
nm0000647,"Alan Smithee",NULL
nm0000648,"Wesley Snipes",1962
nm0000649,"Paul Sorvino",1939
nm0000650,"Talisa Soto",1967
nm0000651,"Sissy Spacek",1949
nm0000652,"James Spader",1960
nm0000655,"Eric Stoltz",1961
nm0000656,"Madeleine Stowe",1958
nm0000657,"David Strathairn",1949
nm0000658,"Meryl Streep",1949
nm0000661,"Donald Sutherland",1935
nm0000662,"Kiefer Sutherland",1966
nm0000663,"Dominique Swain",1980
nm0000664,"Patrick Swayze",1952
nm0000665,"D.B. Sweeney",1961
nm0000666,"Lili Taylor",1967
nm0000667,"David Thewlis",1963
nm0000668,"Emma Thompson",1959
nm0000670,"Lea Thompson",1961
nm0000671,"Billy Bob Thornton",1955
nm0000673,"Marisa Tomei",1964
nm0000677,"Robin Tunney",1972
nm0000679,"Deborah Kara Unger",1966
nm0000681,"Vince Vaughn",1970
nm0000682,"Paul Verhoeven",1938
nm0000683,"Gore Vidal",1925
nm0000685,"Jon Voight",1938
nm0000686,"Christopher Walken",1943
nm0000688,"Sela Ward",1956
nm0000690,"Lesley Ann Warren",1946
nm0000691,"John Waters",1946
nm0000693,"Peter Weller",1947
nm0000694,"Wim Wenders",1945
nm0000696,"Wil Wheaton",1972
nm0000701,"Kate Winslet",1975
nm0000702,"Reese Witherspoon",1976
nm0000704,"Elijah Wood",1981
nm0000705,"Robin Wright",1966
nm0000706,"Michelle Yeoh",1962
nm0000708,"Billy Zane",1966
nm0000709,"Robert Zemeckis",1952
nm0000711,"Rick Baker",1950
nm0000719,"F. Murray Abraham",1939
nm0000720,"Jim Abrahams",1944
nm0000721,"Victoria Abril",1959
nm0000724,"Brooke Adams",1949
nm0000725,"Joey Lauren Adams",1968
nm0000728,"Mario Adorf",1930
nm0000729,"Casey Affleck",1975
nm0000732,"Danny Aiello",1933
nm0000733,"Anouk AimÃƒÂ©e",1932
nm0000735,"Brian Aldiss",1925
nm0000739,"Debbie Allen",1950
nm0000741,"Tim Allen",1953
nm0000744,"Maria Conchita Alonso",1957
nm0000745,"Carol Alt",1960
nm0000749,"MÃƒÂ¤dchen Amick",1970
nm0000754,"Kevin Anderson",1960
nm0000759,"Paul Thomas Anderson",1970
nm0000766,"Theodoros Angelopoulos",1935
nm0000767,"Jean-Hugues Anglade",1955
nm0000770,"David Anspaugh",1946
nm0000771,"Lysette Anthony",1963
nm0000775,"Christina Applegate",1971
nm0000776,"Michael Apted",1941
nm0000777,"Gregg Araki",1959
nm0000778,"Alfonso Arau",1932
nm0000782,"Asia Argento",1975
nm0000783,"Dario Argento",1940
nm0000786,"George Armitage",NULL
nm0000788,"Gillian Armstrong",1950
nm0000793,"Alexis Arquette",1969
nm0000796,"Dana Ashbrook",1967
nm0000798,"Linden Ashby",1960
nm0000799,"Edward Asner",1929
nm0000800,"Armand Assante",1949
nm0000801,"Olivier Assayas",1955
nm0000803,"Christopher Atkins",1961
nm0000806,"Bille August",1948
nm0000807,"Jane Austen",1775
nm0000808,"Paul Auster",1947
nm0000809,"Daniel Auteuil",1950
nm0000812,"Roger Avary",1965
nm0000814,"John G. Avildsen",1935
nm0000815,"Mili Avital",1972
nm0000818,"Shabana Azmi",1950
nm0000821,"Amitabh Bachchan",1942
nm0000823,"Angelo Badalamenti",1937
nm0000827,"Maxine Bahns",1971
nm0000828,"Barbara Bain",1931
nm0000837,"Bob Balaban",1945
nm0000838,"Daniel Baldwin",1960
nm0000841,"Michael Ballhaus",1935
nm0000843,"Anne Bancroft",1931
nm0000849,"Javier Bardem",1969
nm0000852,"Jean-Marc Barr",1960
nm0000853,"Bruno Barreto",1955
nm0000855,"Raymond J. Barry",1939
nm0000867,"Jason Bateman",1969
nm0000870,"Kathy Bates",1948
nm0000871,"Randall Batinkoff",1968
nm0000872,"Patrick Bauchau",1938
nm0000874,"Steven Bauer",1956
nm0000877,"Lamberto Bava",1944
nm0000880,"Meredith Baxter",1947
nm0000881,"Michael Bay",1965
nm0000882,"Nathalie Baye",1948
nm0000883,"Stephanie Beacham",1947
nm0000884,"Jennifer Beals",1963
nm0000885,"Ned Beatty",1937
nm0000886,"Warren Beatty",1937
nm0000889,"Bonnie Bedelia",1948
nm0000893,"Ed Begley Jr.",1949
nm0000894,"Jean-Jacques Beineix",1946
nm0000896,"Harry Belafonte",1927
nm0000899,"Monica Bellucci",1964
nm0000900,"Pamela Bellwood",1951
nm0000902,"Jim Belushi",1954
nm0000905,"Roberto Benigni",1952
nm0000906,"Annette Bening",1958
nm0000911,"Nigel Bennett",1949
nm0000914,"Robert Benton",1932
nm0000915,"Bruce Beresford",1940
nm0000916,"Peter Berg",1964
nm0000920,"Patrick Bergin",1951
nm0000921,"Andrew Bergman",1945
nm0000924,"Elizabeth Berkley",1972
nm0000925,"Steven Berkoff",1937
nm0000928,"Sandra Bernhard",1955
nm0000929,"Corbin Bernsen",1954
nm0000930,"Elmer Bernstein",1922
nm0000932,"Halle Berry",1966
nm0000934,"Bernardo Bertolucci",1941
nm0000940,"Bigas Luna",1946
nm0000941,"Kathryn Bigelow",1951
nm0000947,"Karen Black",1939
nm0000949,"Cate Blanchett",1969
nm0000950,"Brenda Blethyn",1946
nm0000953,"Peter Bogdanovich",1939
nm0000954,"Jon Bon Jovi",1962
nm0000957,"Jan de Bont",1943
nm0000958,"John Boorman",1933
nm0000959,"Powers Boothe",1948
nm0000961,"Timothy Bottoms",1951
nm0000962,"Carole Bouquet",1957
nm0000965,"Danny Boyle",1956
nm0000966,"Lorraine Bracco",1954
nm0000967,"Eric Braeden",1941
nm0000968,"Sonia Braga",1950
nm0000969,"Lillo Brancato",1976
nm0000970,"Jonathan Brandis",1976
nm0000971,"Nicoletta Braschi",1960
nm0000973,"Benjamin Bratt",1963
nm0000977,"Beau Bridges",1941
nm0000979,"Wilford Brimley",1934
nm0000980,"Jim Broadbent",1949
nm0000981,"James Brolin",1940
nm0000982,"Josh Brolin",1968
nm0000983,"Albert Brooks",1947
nm0000984,"Avery Brooks",1948
nm0000985,"James L. Brooks",1940
nm0000987,"Jim Brown",1936
nm0000988,"Jerry Bruckheimer",1943
nm0000993,"Carol Burnett",1933
nm0000995,"Ellen Burstyn",1932
nm0000997,"Gary Busey",1944
nm0000998,"Jake Busey",1971
nm0001001,"James Caan",1940
nm0001002,"Dean Cain",1966
nm0001014,"Mariah Carey",1970
nm0001015,"Robert Carlyle",1961
nm0001016,"David Carradine",1936
nm0001018,"Keith Carradine",1949
nm0001020,"Katrin Cartlidge",1961
nm0001021,"Veronica Cartwright",1949
nm0001024,"Nick Cassavetes",1959
nm0001025,"Seymour Cassel",1935
nm0001026,"Joanna Cassidy",1945
nm0001028,"Maxwell Caulfield",1959
nm0001029,"Jim Caviezel",1968
nm0001032,"Marilyn Chambers",1952
nm0001035,"Ben Chaplin",1970
nm0001036,"Geraldine Chaplin",1944
nm0001038,"Josh Charles",1971
nm0001039,"David Charvet",1972
nm0001040,"Joan Chen",1961
nm0001045,"Tommy Chong",1938
nm0001046,"Julie Christie",1940
nm0001051,"Bill Clinton",1946
nm0001053,"Ethan Coen",1957
nm0001054,"Joel Coen",1954
nm0001057,"Toni Collette",1972
nm0001059,"Robbie Coltrane",1950
nm0001060,"Chris Columbus",1958
nm0001062,"Jeffrey Combs",1954
nm0001063,"Jeff Conaway",1950
nm0001064,"Jason Connery",1963
nm0001065,"Harry Connick Jr.",1967
nm0001066,"Robert Conrad",1935
nm0001068,"Sofia Coppola",1971
nm0001073,"Courteney Cox",1964
nm0001074,"Ronny Cox",1938
nm0001075,"Peter Coyote",1941
nm0001080,"Lindsay Crouse",1948
nm0001081,"Cameron Crowe",1957
nm0001082,"Billy Crudup",1968
nm0001084,"Ice Cube",1969
nm0001085,"Kieran Culkin",1982
nm0001086,"Alan Cumming",1965
nm0001087,"Lee Curreri",1961
nm0001089,"Henry Czerny",1959
nm0001092,"Mark Dacascos",1964
nm0001093,"John Dahl",NULL
nm0001094,"Roald Dahl",1916
nm0001095,"BÃƒÂ©atrice Dalle",1964
nm0001096,"Timothy Dalton",1946
nm0001097,"Charles Dance",1946
nm0001098,"Rodney Dangerfield",1921
nm0001099,"Jeff Daniels",1955
nm0001100,"Blythe Danner",1943
nm0001102,"Joe Dante",1946
nm0001103,"Tony Danza",1951
nm0001107,"Stacey Dash",1967
nm0001108,"Robert Davi",1951
nm0001111,"Jeremy Davies",1969
nm0001112,"Andrew Davis",1946
nm0001114,"Judy Davis",1955
nm0001115,"Ossie Davis",1917
nm0001116,"Warwick Davis",1970
nm0001117,"Bruce Davison",1946
nm0001123,"Dom DeLuise",1933
nm0001125,"Benicio Del Toro",1967
nm0001127,"Dana Delany",1956
nm0001129,"Jonathan Demme",1944
nm0001130,"Ted Demme",1963
nm0001131,"Patrick Dempsey",1966
nm0001132,"Judi Dench",1934
nm0001136,"Bruce Dern",1936
nm0001137,"William Devane",1939
nm0001139,"Tom DiCillo",1953
nm0001140,"Philip K. Dick",1928
nm0001149,"Richard Donner",1930
nm0001150,"James Doohan",1920
nm0001151,"Stephen Dorff",1973
nm0001152,"Illeana Douglas",1965
nm0001153,"Lesley-Anne Down",1954
nm0001154,"Michael Dudikoff",1954
nm0001156,"Olympia Dukakis",1931
nm0001159,"Faye Dunaway",1941
nm0001162,"Griffin Dunne",1955
nm0001163,"Roy Dupuis",1963
nm0001164,"Charles Durning",1923
nm0001165,"Charles S. Dutton",1951
nm0001166,"James Duval",1972
nm0001172,"Christopher Eccleston",1964
nm0001173,"Aaron Eckhart",1968
nm0001175,"Blake Edwards",1922
nm0001176,"Nicole Eggert",1972
nm0001182,"Carmen Electra",1972
nm0001185,"Hector Elizondo",1936
nm0001187,"Noah Emmerich",1965
nm0001189,"Gabriel Yared",1949
nm0001190,"David Prowse",1935
nm0001191,"Adam Sandler",1966
nm0001194,"Jeff Fahey",1952
nm0001199,"Dennis Farina",1944
nm0001200,"Gary Farmer",1953
nm0001201,"Mia Farrow",1945
nm0001202,"Rainer Werner Fassbinder",1945
nm0001206,"Abel Ferrara",1951
nm0001208,"Miguel Ferrer",1955
nm0001212,"Joseph Fiennes",1970
nm0001213,"Harvey Fierstein",1954
nm0001214,"Mike Figgis",1948
nm0001215,"Albert Finney",1936
nm0001216,"Tara Fitzgerald",1967
nm0001217,"Fionnula Flanagan",1941
nm0001218,"Sean Patrick Flanery",1965
nm0001219,"Gary Fleder",1965
nm0001220,"Ian Fleming",1908
nm0001221,"Louise Fletcher",1934
nm0001226,"James Foley",1953
nm0001228,"Peter Fonda",1940
nm0001231,"Claire Forlani",1971
nm0001233,"Robert Forster",1941
nm0001235,"William Forsythe",1955
nm0001238,"JesÃƒÂºs Franco",1930
nm0001240,"Dennis Franz",1944
nm0001241,"Stephen Frears",1941
nm0001243,"William Friedkin",1935
nm0001245,"Mira Furlan",1955
nm0001246,"Dan Futterman",1967
nm0001250,"Charlotte Gainsbourg",1971
nm0001252,"Vincent Gallo",1961
nm0001253,"Mason Gamble",1986
nm0001254,"James Gandolfini",1961
nm0001255,"Victor Garber",1949
nm0001256,"Greta Garbo",1905
nm0001258,"James Garner",1928
nm0001262,"Ben Gazzara",1930
nm0001264,"Sarah Michelle Gellar",1977
nm0001267,"Balthazar Getty",1975
nm0001272,"Annabeth Gish",1971
nm0001274,"Paul Michael Glaser",1943
nm0001275,"Philip Glass",1937
nm0001277,"Scott Glenn",1941
nm0001278,"John Glover",1944
nm0001279,"William Goldman",1931
nm0001281,"Bobcat Goldthwait",1962
nm0001282,"Tony Goldwyn",1960
nm0001283,"Louis Gossett Jr.",1936
nm0001285,"Elliott Gould",1938
nm0001287,"Heather Graham",1970
nm0001288,"Kelsey Grammer",1955
nm0001290,"Richard E. Grant",1957
nm0001292,"Erin Gray",1950
nm0001293,"Seth Green",1974
nm0001294,"Graham Greene",1904
nm0001295,"Graham Greene",1952
nm0001298,"Richard Grieco",1965
nm0001299,"Thomas Ian Griffith",1962
nm0001300,"John Grisham",1955
nm0001301,"Charles Grodin",1935
nm0001302,"Christopher Guest",1948
nm0001303,"Carla Gugino",1971
nm0001305,"Lukas Haas",1976
nm0001311,"Philip Baker Hall",1931
nm0001315,"Marcia Gay Harden",1959
